item,description,quantity,unit_cost_usd,total_usd,source,notes
1,Raspberry Pi Pico 2 W,1,7.00,7.00,https://www.raspberrypi.com/products/raspberry-pi-pico-2/,Wi-Fi hub
2,Adafruit MCP23017 I2C GPIO expander,2,5.95,11.90,https://www.adafruit.com/product/5346,16 tool inputs per module
3,Kailh Choc V1 switches 10-pack,5,5.00,25.00,https://chosfox.com/products/kailh-chocs,32 tool switches plus 12 keypad switches and 6 spares
4,Blank MBK Choc keycaps 10-pack,2,4.00,8.00,https://boardsource.xyz/products/blank-mbk,12 keypad caps and 8 spares
5,0.96 inch 128x64 OLED,1,17.50,17.50,https://www.adafruit.com/product/326,Session and missing count
6,STEMMA QT 100 mm cable,5,0.95,4.75,https://www.adafruit.com/product/4210,I2C module connections
7,Prototype board or stripboard,2,3.00,6.00,https://www.adafruit.com/product/1609,Switch wiring under each tray
8,4-pin locking connector and wire kit,1,8.00,8.00,local,Removable tray connections
9,M3 screws and heat-set inserts,1,8.00,8.00,https://www.adafruit.com/product/4255,Case assembly
10,PETG filament allowance,1,8.00,8.00,local,About 300 grams
11,Hookup wire and heat-shrink allowance,1,8.00,8.00,local,Tool switch wiring
TOTAL,,,,112.15,,
